what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1329689029787
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.ClassFileEditor",1329689029937
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1329689031620
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.ClassFileEditor",1329689031788
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1329689038356
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.ClassFileEditor",1329689038526
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.ClassFileEditor",1329689038624
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.ClassFileEditor",1329689044262
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.ClassFileEditor",1329689044262
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1329689045152
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.ClassFileEditor",1329689045152
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1329689046801
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329689051663
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329689367846
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1329689368072
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1329689369889
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1329689373755
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329689565084
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329693093667
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329693095432
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329693097335
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329693393629
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329693395065
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329694177540
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329694179089
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329694203040
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1329694203062
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329694207579
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329694214387
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1329694214476
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1329694214558
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329694222990
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329694241440
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1329694242970
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1329694247516
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329694255868
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329694274033
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329694277547
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329694309796
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1329694312933
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329694317146
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329694328392
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1329694328409
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329694334531
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1329694342752
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329694350657
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1329694350673
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1329694351532
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1329694352694
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1329694355495
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1329694357699
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1329694366420
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329694376569
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329694380435
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329694457636
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329694462839
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1329694465315
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1329694471453
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1329694471736
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329694480787
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329694495187
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1329694497308
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329694514281
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329694717159
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329694719658
